text,label
"民眾透過臉書、LINE或知名拍賣網站從事網路購物，詐騙集團便利用當前最新款的3C產品、限量球鞋、名牌包或熱門演唱會門票等，以明顯低於市價之價格誘引民眾下單並要求以LINE或Messenger私下交易。等被害人匯款後卻不出貨，且失去聯繫；或以貨到付款方式取貨開箱後，才發現是劣質商品。",1
"網購商品應慎選優良有信用之網路商家，透過面交方式或選擇提供第三方支付之網購平臺，以保障雙方權益並減少消費糾紛。避免透過LINE、Messenger等通訊軟體與賣家私下聯繫交易，以免求助無門。應加強查核網路商家的真實性，如粉絲專頁成立時間短、粉絲或追蹤人數過少等，可立即至經濟部網站查詢公司名稱、地址等基本資料。",0
"詐騙集團透過網路社群或交友軟體主動認識被害人，並假借股票、虛擬通貨、期貨、外匯及基金等名義，吸引民眾加入LINE投資群組，初期會先讓民眾小額獲利，再以資金越多獲利越多說詞，引誘民眾加入投資網站或下載APP並投入大量資金，後續再以洗碼量不足、繳保證金、IP異常等理由拒絕出金，民眾發現帳號遭凍結或網站關閉才發現遭詐。",1
"高獲利必定伴隨高風險，聽到「保證獲利」、「穩賺不賠」必定是詐騙，民眾應選擇自己有深入瞭解過的投資標的，不要輕信來源不明投資管道或網路連結，如遇到加「LINE」進行投資必為詐騙。「165防騙宣導」LINE官方帳號及165全民防騙網可查詢詐騙LINE ID、假投資(博弈)網站及詐騙電話，同時與「165全民防騙」臉書粉絲專頁每週公布投資詐騙網站，提供民眾即時掌握最新詐騙訊息，或可至投信投顧公會網站(www.sitca.org.tw)查詢合法投資管道。",0
"詐騙集團攻擊資安防護不足電子商務平臺或基金會之後臺資料庫，取得民眾的交易紀錄與個資，再假冒商家或基金會與銀行來電，謊稱因設定錯誤，將重複扣款，要求民眾操作ATM、網路銀行或至超商購買遊戲點數進行解除設定。民眾依照指示操作後，發現帳戶餘額減少，才知道上當受騙。",1
"接獲陌生來電或境外來電(開頭有+)必須提高警覺，不要因為能明確說出交易明細而相信。接到來電以「誤設為重複扣款」、「升級VIP會員」、「系統出錯」等詐騙關鍵字就要提高警覺，應將電話掛斷後，自行查詢客服電話並撥打確認，或撥打165反詐騙諮詢專線諮詢。ATM只能「提款」與「轉帳」功能，不能解除分期付款或退款；遊戲點數亦只有儲值遊戲之功能，並無法解除任何設定或身分識別。",0
"詐騙集團透過社群網站或交友軟體等管道隨機加好友，並盜用網路上帥哥、美女照片，假冒戰地軍官、軍醫、服務於聯合國官員，讓民眾誤入情網，再以境外寄送跨境包裹、禮物需要關稅或儲存結婚基金介紹投資管道等方式詐騙民眾匯款，直到遭對方封鎖才知道受騙。",1
"接獲陌生人要求加好友，切勿在言談間透露太多個人資訊，避免個人資訊遭盜用。)沒見過面的網友要求匯錢時，務必提高警覺，可要求開視訊聯繫通話確認本人身份，勿輕易將金錢交付他人。",0
"詐騙集團假冒「兒女」、「親戚」或「多年不見的友人」，透過電話或通訊軟體(如LINE)與民眾聯繫，並以換過手機所以不是原來的號碼、暱稱等方式要求民眾加入新手機號碼或LINE ID，過幾天後再以臨時急用、投資周轉等理由詐騙民眾匯款，事後民眾聯絡到當事人確認無此事後才知道被騙。",1
"接到以親友名義來電借錢，務必以舊有電話向當事人親自確認，切勿貿然前往銀行匯款，以免遭詐騙。提供的匯款帳戶名稱與親友本人名字不同，詐騙的可能性將大幅提高，更應主動查證。可與親友約定專屬密語，做為懷疑對方身分時的確認。",0
"詐騙集團假冒健保局、醫院及中華電信或其他公務機關撥打市內電話予民眾，用語音的方式引導被害人轉接客服人員，並以被害人遭冒用身分辦理開戶、請領健保補助或申辦門號為由，主動協助轉接警察機關製作筆錄，另告知涉及洗錢或其他刑事案件，強調偵查不公開勿告知親友，再要求民眾至超商收取傳真或以LINE傳送法院偽造公文取信被害人，須被害人配合監管帳戶等話術行騙得逞。",1
